Program,Technique,TimePerClass,FailCount
Chart,evosuite,120,11
Chart,evosuite,300,9
Chart,evosuite,600,11
Chart,randoop,120,10
Chart,randoop,300,11
Chart,randoop,600,11
Chart,randoopGRT,120,4
Chart,randoopGRT,300,4
Chart,randoopGRT,600,5
Chart,randoopGRTMinusDynamicTyping,120,4
Chart,randoopGRTMinusDynamicTyping,300,4
Chart,randoopGRTMinusDynamicTyping,600,5
Chart,randoopGRTMinusInputConstruction,120,10
Chart,randoopGRTMinusInputConstruction,300,9
Chart,randoopGRTMinusInputConstruction,600,11
Chart,randoopGRTMinusMinCostFirst,120,3
Chart,randoopGRTMinusMinCostFirst,300,5
Chart,randoopGRTMinusMinCostFirst,600,5
Chart,randoopGRTMinusMinCoverageFirst,120,5
Chart,randoopGRTMinusMinCoverageFirst,300,5
Chart,randoopGRTMinusMinCoverageFirst,600,6
Lang,evosuite,120,22
Lang,evosuite,300,23
Lang,evosuite,600,26
Lang,randoop,120,9
Lang,randoop,300,8
Lang,randoop,600,9
Lang,randoopGRT,120,2
Lang,randoopGRT,300,6
Lang,randoopGRT,600,4
Lang,randoopGRTMinusDynamicTyping,120,4
Lang,randoopGRTMinusDynamicTyping,300,4
Lang,randoopGRTMinusDynamicTyping,600,5
Lang,randoopGRTMinusInputConstruction,120,4
Lang,randoopGRTMinusInputConstruction,300,4
Lang,randoopGRTMinusInputConstruction,600,8
Lang,randoopGRTMinusMinCostFirst,120,3
Lang,randoopGRTMinusMinCostFirst,300,3
Lang,randoopGRTMinusMinCostFirst,600,5
Lang,randoopGRTMinusMinCoverageFirst,120,4
Lang,randoopGRTMinusMinCoverageFirst,300,7
Lang,randoopGRTMinusMinCoverageFirst,600,4
Math,evosuite,120,35
Math,evosuite,300,35
Math,evosuite,600,39
Math,randoop,120,17
Math,randoop,300,21
Math,randoop,600,23
Math,randoopGRT,120,11
Math,randoopGRT,300,13
Math,randoopGRT,600,17
Math,randoopGRTMinusDynamicTyping,120,14
Math,randoopGRTMinusDynamicTyping,300,17
Math,randoopGRTMinusDynamicTyping,600,25
Math,randoopGRTMinusInputConstruction,120,16
Math,randoopGRTMinusInputConstruction,300,21
Math,randoopGRTMinusInputConstruction,600,33
Math,randoopGRTMinusMinCostFirst,120,10
Math,randoopGRTMinusMinCostFirst,300,14
Math,randoopGRTMinusMinCostFirst,600,16
Math,randoopGRTMinusMinCoverageFirst,120,9
Math,randoopGRTMinusMinCoverageFirst,300,14
Math,randoopGRTMinusMinCoverageFirst,600,17
Time,evosuite,120,9
Time,evosuite,300,8
Time,evosuite,600,9
Time,randoop,120,1
Time,randoop,300,2
Time,randoop,600,2
Time,randoopGRT,300,1
Time,randoopGRT,600,1
Time,randoopGRTMinusDynamicTyping,300,1
Time,randoopGRTMinusDynamicTyping,600,1
Time,randoopGRTMinusInputConstruction,120,1
Time,randoopGRTMinusInputConstruction,300,3
Time,randoopGRTMinusMinCostFirst,300,1
