Program,Technique,TimePerClass,FailCount
Chart,evosuite,120,12
Chart,evosuite,300,11
Chart,evosuite,600,12
Chart,randoop,120,11
Chart,randoop,300,11
Chart,randoop,600,12
Chart,randoopGRT,120,3
Chart,randoopGRT,300,5
Chart,randoopGRT,600,7
Chart,randoopGRTMinusDynamicTyping,120,4
Chart,randoopGRTMinusDynamicTyping,300,5
Chart,randoopGRTMinusDynamicTyping,600,5
Chart,randoopGRTMinusInputConstruction,120,10
Chart,randoopGRTMinusInputConstruction,300,10
Chart,randoopGRTMinusInputConstruction,600,13
Chart,randoopGRTMinusMinCostFirst,120,4
Chart,randoopGRTMinusMinCostFirst,300,6
Chart,randoopGRTMinusMinCostFirst,600,4
Chart,randoopGRTMinusMinCoverageFirst,120,6
Chart,randoopGRTMinusMinCoverageFirst,300,5
Chart,randoopGRTMinusMinCoverageFirst,600,6
Time,evosuite,120,7
Time,evosuite,300,9
Time,evosuite,600,9
Time,randoop,120,1
Time,randoop,300,1
Time,randoop,600,4
Time,randoopGRT,120,1
Time,randoopGRT,600,1
Time,randoopGRTMinusDynamicTyping,300,1
Time,randoopGRTMinusDynamicTyping,600,2
Time,randoopGRTMinusInputConstruction,600,1
Time,randoopGRTMinusMinCostFirst,600,1
Time,randoopGRTMinusMinCoverageFirst,600,1
