Program,Bug,Technique,ID,Result,Num,TimePerClass
Math,91f,randoopGRT,1,Pass,0,300
Lang,17f,randoop,1,Pass,0,120
Math,106f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Math,44f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Math,56f,randoopGRT,1,Pass,0,120
Chart,12f,randoop,1,Pass,0,300
Math,47f,randoopGRTMinusMinCostFirst,1,Pass,0,600
Lang,3f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Lang,19f,randoopGRTMinusMinCoverageFirst,1,Pass,0,120
Chart,20f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Time,19f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Math,26f,randoopGRTMinusInputConstruction,1,Pass,0,300
Math,1f,randoopGRTMinusDynamicTyping,1,Fail,44,300
Math,76f,randoopGRTMinusMinCostFirst,1,Pass,0,600
Math,45f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Math,56f,randoopGRTMinusMinCoverageFirst,1,Pass,0,120
Chart,17f,randoopGRTMinusInputConstruction,1,Pass,0,120
Math,2f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Math,18f,randoop,1,Pass,0,300
Math,19f,randoop,1,Pass,0,300
Lang,46f,randoopGRT,1,Pass,0,600
Math,20f,randoop,1,Pass,0,300
Math,22f,randoopGRT,1,Pass,0,600
Math,21f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Math,47f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Math,38f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Math,21f,randoop,1,Pass,0,300
Lang,40f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Math,98f,randoopGRTMinusInputConstruction,1,Fail,16,600
Lang,30f,randoop,1,Pass,0,600
Lang,31f,randoop,1,Pass,0,600
Lang,35f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Chart,1f,randoopGRT,1,Pass,0,300
Lang,45f,randoopGRTMinusDynamicTyping,1,Fail,22,120
Math,3f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Math,37f,randoopGRTMinusInputConstruction,1,Pass,0,600
Lang,47f,randoopGRT,1,Pass,0,600
Lang,52f,randoopGRTMinusMinCoverageFirst,1,Pass,0,300
Lang,30f,randoopGRT,1,Pass,0,120
Lang,43f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Math,46f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Chart,4f,randoopGRTMinusDynamicTyping,1,Pass,0,600
Math,49f,randoop,1,Pass,0,600
Math,40f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Math,47f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Chart,18f,randoopGRTMinusInputConstruction,1,Fail,20,120
Lang,56f,randoopGRTMinusDynamicTyping,1,Pass,0,600
Math,94f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Lang,41f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Lang,44f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Lang,36f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Math,82f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Math,5f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Chart,2f,randoopGRT,1,Pass,0,300
Time,14f,evosuite,1,Fail,1,300
Math,6f,randoopGRTMinusDynamicTyping,1,Fail,2,300
Math,10f,randoopGRTMinusDynamicTyping,1,Fail,2,600
Math,96f,randoopGRTMinusInputConstruction,1,Pass,0,300
Math,38f,randoopGRTMinusInputConstruction,1,Pass,0,600
Math,86f,randoopGRTMinusDynamicTyping,1,Pass,0,600
Math,35f,randoopGRT,1,Fail,4,300
Math,11f,randoopGRTMinusMinCoverageFirst,1,Pass,0,120
Math,7f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Lang,27f,randoopGRT,1,Pass,0,600
Lang,21f,randoopGRTMinusDynamicTyping,1,Fail,16,600
Math,48f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Lang,45f,randoop,1,Fail,16,120
Math,49f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Chart,19f,randoopGRTMinusInputConstruction,1,Fail,2,120
Math,99f,randoopGRTMinusInputConstruction,1,Pass,0,600
Time,10f,randoopGRTMinusInputConstruction,1,Pass,0,600
Math,85f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Math,11f,randoopGRTMinusDynamicTyping,1,Pass,0,600
Chart,5f,randoopGRTMinusDynamicTyping,1,Pass,0,600
Chart,20f,randoopGRTMinusInputConstruction,1,Pass,0,120
Math,95f,randoopGRT,1,Fail,6,600
Lang,42f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Lang,17f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Math,16f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Math,3f,randoopGRTMinusInputConstruction,1,Pass,0,120
Lang,49f,randoopGRT,1,Pass,0,600
Math,83f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Math,84f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Time,12f,randoopGRTMinusMinCoverageFirst,1,Pass,0,600
Math,48f,randoopGRTMinusMinCostFirst,1,Pass,0,600
Math,65f,randoopGRT,1,Pass,0,600
Lang,6f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Math,37f,randoopGRTMinusMinCoverageFirst,1,Pass,0,120
Time,6f,randoopGRTMinusInputConstruction,1,Pass,0,120
Lang,57f,randoopGRTMinusDynamicTyping,1,Fail,5,600
Chart,21f,randoopGRTMinusMinCostFirst,1,Pass,0,120
Math,97f,randoopGRTMinusInputConstruction,1,Pass,0,300
Math,23f,randoopGRT,1,Pass,0,600
Lang,37f,randoopGRTMinusMinCostFirst,1,Pass,0,300
Math,8f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Math,9f,randoopGRTMinusDynamicTyping,1,Pass,0,300
Math,63f,randoop,1,Pass,0,600
Lang,50f,randoopGRTMinusInputConstruction,1,Pass,0,120
Math,27f,randoopGRTMinusDynamicTyping,1,Pass,0,120
Lang,22f,randoopGRTMinusDynamicTyping,1,Pass,0,600
Lang,51f,randoopGRTMinusInputConstruction,1,Pass,0,120
Math,5f,randoopGRTMinusMinCoverageFirst,1,Pass,0,300
